match_number,matchday,date,home_team_id,away_team_id,home_goals,away_goals,xg_home,xg_away,played
297,30,2025-04-06,17,2,0,4,,,True
298,30,2025-04-06,19,1,0,0,,,True
299,30,2025-04-07,10,9,1,1,,,True
300,31,2025-04-11,11,8,1,0,,,True
301,31,2025-04-12,13,15,0,2,,,True
302,31,2025-04-12,2,7,1,3,,,True
303,31,2025-04-12,5,18,0,2,,,True
304,31,2025-04-12,10,12,0,1,,,True
305,31,2025-04-13,9,4,2,1,,,True
306,31,2025-04-13,6,16,0,1,,,True
307,31,2025-04-13,3,19,1,2,,,True
308,31,2025-04-13,1,14,3,1,,,True
309,31,2025-04-14,20,17,4,2,,,True
310,32,2025-04-18,18,2,1,0,,,True
311,32,2025-04-19,14,11,1,1,,,True
312,32,2025-04-19,12,5,4,3,,,True
313,32,2025-04-19,15,10,0,0,,,True
314,32,2025-04-19,7,20,1,0,,,True
315,32,2025-04-20,17,9,2,3,,,True
316,32,2025-04-20,19,13,2,2,,,True
317,32,2025-04-20,8,6,1,1,,,True
318,32,2025-04-20,16,1,1,0,,,True
319,32,2025-04-21,4,3,1,3,,,True
320,33,2025-04-22,11,18,1,1,,,True
321,33,2025-04-22,12,15,1,0,,,True
322,33,2025-04-23,1,7,1,0,,,True
323,33,2025-04-23,5,19,3,0,,,True
324,33,2025-04-23,6,13,1,0,,,True
325,33,2025-04-23,2,16,0,1,,,True
326,33,2025-04-24,9,8,1,0,,,True
327,33,2025-04-24,10,4,1,1,,,True
328,33,2025-04-24,20,14,3,0,,,True
329,33,2025-04-24,3,17,5,1,,,True
330,26,2025-04-27,19,18,1,0,,,True
331,34,2025-05-02,14,2,1,0,,,True
332,34,2025-05-03,6,20,0,0,,,True
333,34,2025-05-03,19,9,4,2,,,True
334,34,2025-05-03,7,11,2,3,,,True
335,34,2025-05-03,17,12,1,2,,,True
336,34,2025-05-04,16,5,3,2,,,True
337,34,2025-05-04,8,10,2,2,,,True
338,34,2025-05-04,18,3,1,2,,,True
339,34,2025-05-04,13,1,0,0,,,True
340,34,2025-05-05,4,15,1,0,,,True
341,35,2025-05-09,7,14,0,1,,,True
342,35,2025-05-10,11,2,3,0,,,True
343,35,2025-05-10,5,8,3,2,,,True
344,35,2025-05-10,4,19,0,1,,,True
345,35,2025-05-10,15,17,2,1,,,True
346,35,2025-05-10,20,13,4,0,,,True
347,35,2025-05-11,10,18,3,2,,,True
348,35,2025-05-11,12,16,4,3,,,True
349,35,2025-05-11,1,6,1,0,,,True
350,35,2025-05-11,3,9,1,1,,,True
351,36,2025-05-13,17,4,0,1,,,True
352,36,2025-05-13,13,5,0,1,,,True
353,36,2025-05-13,8,7,1,0,,,True
354,36,2025-05-14,6,11,1,0,,,True
355,36,2025-05-14,19,10,3,0,,,True
356,36,2025-05-14,16,15,2,1,,,True
357,36,2025-05-15,9,20,2,0,,,True
358,36,2025-05-15,14,3,2,2,,,True
359,36,2025-05-15,2,1,0,2,,,True
360,36,2025-05-15,18,12,0,2,,,True
361,37,2025-05-18,20,3,4,1,,,True
362,37,2025-05-18,5,14,1,2,,,True
363,37,2025-05-18,12,19,2,3,,,True
364,37,2025-05-18,8,16,0,2,,,True
365,37,2025-05-18,11,1,0,1,,,True
366,37,2025-05-18,15,2,1,2,,,True
367,37,2025-05-18,13,4,3,2,,,True
368,37,2025-05-18,17,6,0,1,,,True
369,37,2025-05-18,7,10,0,1,,,True
370,37,2025-05-18,9,18,2,0,,,True
371,38,2025-05-23,3,11,,,,,False
372,38,2025-05-24,16,13,,,,,False
373,38,2025-05-24,10,17,,,,,False
374,38,2025-05-24,18,7,,,,,False
375,38,2025-05-24,6,9,,,,,False
376,38,2025-05-24,2,5,,,,,False
377,38,2025-05-24,14,15,,,,,False
378,38,2025-05-25,4,20,,,,,False
379,38,2025-05-25,19,8,,,,,False
380,38,2025-05-25,1,12,,,,,False
